ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
14,1,rgkarim,7,A Samaritan to the Crime Drama Formula,"With the success of the Avengers last weekend, it is hard for other movies to try and take follow such an impressive record. Still, another week comes with movies that are going to try and fight for their place in the silver screen. My first movie of the week is the latest Horror/Thriller to try and keep you on edge. Robbie K here with another round of writing to help you guys with your movie choices. Sit back and read on as I review Movie Bad Samaritan Director Dean DevlinWriter Brandon Boyce screenplay Stars Kerry Condon, David Tennant, Robert Sheehan LIKESDecent Pacing If youve read my work, you know I like movies that movie, which Bad Samaritan does. Ill admit it takes a while to lift off in an attempt to set the stage, but as the robbery goes bad and the thrills start, things start to pick up. From then on, it seems to move, only hitting rough patches of diverging slowness for small amounts before looping back to the story. Acting Another plus here, the cast has quite an art to he",,,,,,,,,,,,,,,,,,,
15,1,ThomasDrufke,7,Great B-Movie,"Bad Samaritan is a film that I simply did not know was even being released until I looked on Fandango and checked what movies I could go see yesterday. And besides David Tennant, theres really no big name here at all and there wasnt a single bit of marketing that I saw, so theres that. Really, Bad Samaritan will likely be a film that comes and goes and never knows that it existed. However, I actually thought it was a pretty well made film. Granted, it starts to fall apart after the hour mark, but if youre just looking for a cheap thrill with some fun performances, creepy imagery, and good time at the theater, then look no further than Bad Samaritan. The film has no place making some of the third act decisions it does however, it never fully jumps the proverbial shark, and its always entertaining. 7.3/10",,,,,,,,,,,,,,,,,,,
16,1,terry_z,10,LOVED this movie!!!,"Production was outstanding, story was outstanding, acting was outstanding. There was nothing to dislike. The suspense was palpable throughout. Phenomenal film!!!",,,,,,,,,,,,,,,,,,,
17,1,foutainoflife,8,I Got So Much More Than I Expected!!,"This movie really surprised me.This is about a struggling artist who, along with a friend, use a valet service to commit burglaries using the keys their clients give them to park cars. While in an attempted burglary, our main character finds himself in the home of a serial killer where there is an abducted woman chained up, pleading for help. He tries to free her but cant. He returns the car to the owner then makes an anonymous call to 911. He returns to the home in an attempt to make sure that the girl is rescued but the officer leave the scene without her. By now the serial killer knows what is going on and starts to turn the tables onto our main character.This was so much better than I thought it would be. The idea was fresh, at least to me, and it was a well made movie. The actors did a great job and the serial killer gave off a Charlie Sheen vibe. He looked and acted alot like Sheen. I really dont have any complaints about this other than wishing there would have been a little mor",,,,,,,,,,,,,,,,,,,
18,1,broncosdudex,9,Loved it.,"Went to see it when I first came out because Im a big fan of Robert Sheenan aka Nathan from Misfits.Personally loved every minute of the film! It kept me on the edge of my seat from start to finish. Not the most original film, as a few times you know what would happen, but even as it unfolded I thoroughly enjoyed it. Acting was great!",,,,,,,,,,,,,,,,,,,
19,1,bdwyphil,10,WOW!,"As my wife abhors any form of violence, I normally dont see films like Bad Samaritan. Its been a long time since Ive been scared in a movie. This film certainly gave me the chills and made my hair stand on end. If youre looking for some thrills with the addition of a moral dilemma, this should be right up your own dark alley.",,,,,,,,,,,,,,,,,,,
20,1,stevendbeard,7,Nice little Thriller,"I saw Bad Samaritan""", starring David Tennant-Jessica Jones_tv, Doctor Who_tv; Robert Sheehan-Geostorm, The Mortal InstrumentsCity of Bones; Carlito Olivero-East Los High_tv, Blood Heist and Kerry Condon-Three Billboards Outside Ebbing Missouri, Better Call Saul_tv.This is a nice little thriller about a psycho serial killer. Robert and Carlito are two guys that work as valet parking attendants that are not on the up & up. They park your car and then steal anything they can find. Sometimes, they grab stuff left in the car and sometimes they go to the owners house and burglarize it-hey, they are eating and will be gone for an hour or so. Up comes David. Driving a fancy car and just being rather snotty to the guys. Robert decides to check out Davids house and finds, among other things, Kerry, chained to a chair, with a gag in her mouth and signs of being beaten and tortured. What to do, what to do. Robert tries to set her loose but it is chains bolted to the floor. If he calls the police,"
21,1,cmharelson-62160,6,An enjoyable and competently performed suspen""","For the most part, this film was well shot, very well acted, and well paced. My only real criticism for the film is the elements I felt were a bit over the top. These would include a bizarrely done flashback snippet, some odd plot occurrences, and a score that I felt elevated the cartoonish nature of the film. Still, would recommend a watch for those who like cat and mouse thrillers.",,,,,
22,1,carloenrico-salvadori,3,You are beyond correction,"This is a total letdown. It has the pace and character development"" of a crappy tv movie", full of clich̬s like the psycho rich billionaire, who is so unhinged that his catch phrases become involontarily hilarious pretty soon, or the clumsy hero that has become a sort of 21st century trope," exemplified in contrast by the bravado of the ""damsel in distress"" who hits the villain first and then excoriates the protagonist with a most brilliant line like ""This is how you save someone"".Too long", too slow," too predictable.""",,,,,,,,,,,,,
23,1,spilledinkcinema,7,"Great Acting, So-So Story","Im a fan of David Tennant, so I cant complain, even if it seems hes a bit typecasted for the bad guy lately. This was all around solid acting film with some dumb choices and a little too convenient plot twists.",,,,,,,,,,,,,,,,,,,
24,1,no-lolita-683-244070,10,MUCH BETTER THAN EXPECTED!,"After browsing a few reviews by both critics and the Average Joe/Jane, I thought this film might have been a poor-to-fair time-waster. Surprise! I thought it was great! Decent story, some good jumps, campy-but-perfect acting by Tennant, and all other players were just right. The only minor irritation was the role played by law enforcement, mostly depicted as not much help. Worth watching.",,,,,,,,,,,,,,,,,,,
25,1,natcalgary,7,A pleasant surprise,"I didnt expect much from this but I was deff, impressed. The acting was very good, and the plot well thought out. There were a few parts that were a bit unbelievable, but for the most part it actually seemed like something that could happen for real which made it that much more chilling.7.3",,,,,,,,,,,,,,,,,,,
26,2,kjames-26542,10,Unlike anything ever done in the history of c,"This movie is the beginning of the culmination of Marvels masterfully woven cinematic universe. Beginning back in 2008 with iron man, we are finally seeing the results of all the movies have been pointing to; and it did not disappoint. Thanos is a complex villain, with deeper and more interesting desires than just world domination."" The dilemmas all the characters face in this movie both the heroes and the villains are truly thought provoking and leave you on the edge of your seat. No other set of movies has beeen so involved", so expanded," and encompassed so many story lines/characters and previous movies. The sheer amount of star power alone in this film is insane; and they do a masterful job of weaving all these unique and various characters into a common storyline.""",,,,,,,,,,,,,,,,,
27,2,shawneofthedead,10,This movie will blow your mind and break your,"Over the past decade, Marvel has earned itself the benefit of the doubt. The studio has consistently delivered smart, funny, brave films that both embrace and transcend their comic-book origins. The 18 blockbuster movies produced since Iron Man first blasted off into the stratosphere in 2008 have not only reinvented superhero films as a genre - theyve helped to legitimise it. Indeed, Marvels two most recent films - Thor Ragnarok and Black Panther - have received the kind of accolades usually reserved for edgy arthouse flicks. And yet, its perfectly reasonable to be apprehensive about Avengers Infinity War. This is a blockbuster film thats been ten years in the making, its plot hinted at and scattered throughout 18 other movies. It features 30 or so characters, each with their own complex backstories and motivations. And all of them are coming together in a bid to stop a giant purple alien dude from destroying the universe. It sounds ridiculous, and feels impossible. But thats precisely",,,,,,,,,,,,,,,,,,,
28,2,kevintgeisler,9,Excellent Film,"I was amazed to see so many negative reviews; so many people are impossible to please. This movie was 2 1/2 hours long, but I could have sat there another 2 1/2 hours and not noticed. Thoroughly entertaining, and I love how the directors werent afraid to take chances. Ive read a lot of other user reviews that claim that theres no plot. Unless youre mentally handicapped or not paying attention because youre on your phone the entire movie, the plot is pretty clear, and decent in my opinion.",,,,,,,,,,,,,,,,,,,
29,2,garethvk,10,A Summer Film That IS Even Better Than The Hy,"Summer movies often hype themselves as spectacular events not to be missed and their ad campaigns use words like epic"""," ""spectacle"""," and ""smash"" as ways to build the hype to increase advanced box office sales.The summer 2018 film season kicks off in a big way with ""Avengers Infinity War"" and it is the rare summer film that exceeds is lofty expectations and delivers a crowning achievement for the Marvel Cinematic Universe.When Thanos Josh Brolin", embarks on a deadly campaign to find and possess the Infinity Stones, he leaves a path of death and destruction in his path. When his pursuit leading him to Earth, Bruce Banner Mark Ruffalo, and Doctor Strange Benedict Cumberbatch, who enlist a reluctant Tony Stark Robert Downey Jr.," to the cause just as the minions of Thanos arrive.With The Avengers fractured and scattered following the events of ""Captain America Civil War"" the teams find themselves dealing with the threat in various groups as fate steps in to divide many key members of the t""",,,,,,,,,,,
30,2,blparker-31738,10,The amount of people that dont understand the,"All the reviews that say this movie has no plot are either trolls, idiots, or didnt are to take the time to watch previous marvel movies. Every single one of those ratings and reviews should be taken down and not added to the rating for Infinity War because of their fundamental lack of understanding. Its like coming in and watching the last 2 minutes of an hour long drama show and saying this episode sucks because it has no plot. Its utterly ridiculous!There have been 31 marvel movies leading up to this point. All 31 has have some plot that leads to infinity war. Infinity War IS the end game movie. There is nothing left to explain, nothing left to discuss, it is all-out fight for control of the most powerful items in existence, the infinity stones. There have been 31 movies to explain in someway the power of these stones and/or the heroes that come together to fight Thanos in this movie. Its like a long game of chess where Thanos finally makes his move, and its a huge one.So I beg of a",,,,,,,,,,,,,,,,,,,
31,2,mto10,10,Epic conclusion to Marvels first 10 years,"I absolutely loved this movie. It was intense, action-packed and emotional. Also delivering comedy when needed, but it was a relatively dark film. All of the actors delivered great performances and the characters continue to be fleshed out and be made human despite the fact that theyre superheroes. This is easily the best superhero movie ever made. Thanos is one of the best villains of the MCU, as well as one of the best of Cinematic history in general. Upon first viewing, I hated him, but found his character intriguing. Similar to Emperor Palpatine in the Original and Prequel trilogies of Star Wars. The more times I rewatch it though, I start to understand Thanos point of view more and more. The blurred lines with his motivations make the movie more compelling. Even driving some people to say that Thanos was right in all this. I wouldnt go that far, but I would say his character is misunderstood. Definitely a compelling villain in Thanos. The ending of the movie was insanely emotional",,,,,,,,,,,,,,,,,,,
32,2,Platypuschow,9,Avengers Infinity War Marvels crown jewel,"Let me be clear Infinity War is not flawless, it has its faults but thankfully they are overshadowed by two hours of awesomeness.Every movie in the Marvel universe for the last decade has ultimately been building up to this therefore expectations were through the roof and for the most part it delivers.Almost every character from the MCU teams up to face its most dangerous foe yet, the mad titan himself Thanos and if you know anything about the comics then going in youd know to brace yourself for heartache.With all the hype as to who wouldnt survive the film Im left wondering just how many deaths are permanent, this is a superhero universe after all so never say never.Though the story and Thanoss motivations differ from the comic this can be forgiven as the new story is wafer thin but competent.As you can imagine one of the most exciting things about Infinity War was uniting heroes weve never seen side by side and that certainly delivers on all fronts. The action is thick and fast, desp",,,,,,,,,,,,,,,,,,,
33,2,BiiivAL,9,"Again a fight, but bigger","I went and looked, and I want to express my thoughts.I went to this film with very high expectations, with a sense of something. I went to him twice, the first time, myself, and the second with the family, and I was even surprised that my mother, sister and dad who do not understand this movie at all brought unreal pleasure and an ocean of emotions.Each frame, each scene does not let you get bored, from the Marvel logo, and to the stage after the credits. Favorite heroes once again experienced side by side and you feel it, you are completely absorbed in a hurricane of events and you are watching it in one breath. In comparison with the War of Infinity, even the Confrontation looks like an ordinary fight in the sandbox.Uuuu, and the villain, the best as for me the best in this kirovoveselennoy, he is not just a bot at once, without motivation, no, its just the opposite. I liked Thanos so much that you do not want to, and he began to impress me, in terms of his convictions I had it only ",,,,,,,,,,,,,,,,,,,
34,2,oliverdimitri,10,THE BEST SUPERHERO MOVIE EVER!!,"Engrossing, Epic, Emotional. Those are the three Es that define this movie. The latest instalment of the Marvel Cinematic Universe franchise is at its very best, culminating ten years of marvel adventure and spectacle with the biggest and most boldest movie in the superhero genre. So lets start with Anthony and Joe Russo, the geniuses that made this beast of a movie. After announcing that they will be directing the next two Avengers movies, Marvel fans knew at once that this will be the darkest Avengers movie yet. Yes, it was very dark with more of a serious tone. More than Winter Soldier and Civil War previous marvel movies directed by the Russo Bothers combined but they also had what the other Avengers movies had as well, the humour and it was not at all tasteless. Nobody really cared if it was necessary or not because the humour worked along with the edgy parts of the movie. This is by far the Russo brothers best work among the Marvel movies completely raising the bar of superhero m",,,,,,,,,,,,,,,,,,,
35,2,hawkins_saints_rock,10,Everything we couldve hoped for,"Oh. My. God. What an incredible film! Ive never done a review of a movie before, Ive only done TV shows. So bare with me, Im gonna discuss the major points and chuck in a theory or two. But to start off...Wow. This film could be the best Marvel movie ever! But I will give it a few days to digest and probably a second viewing before deciding on that. It absolutely lived up to the 10 year build up since Iron Man 1, how far weve come in a quick 10 years is remarkable. The Thanos character absolutely hit the mark. He was menacing, intimidating, vicious and so much more. Props to the actor who played him. Thanos plan succeeds for the time being and we get a whole lot of death"" because of it. In this movie there was death"," and ""death"". The former refers to characters such as Loki", Vision and Gamora. We saw these characters die and there bodies be left behind. For this movie not to lose credibility, these characters, in my opinion," must remain dead. Now ""death"" refers to what we saw at the e""",,,,,,,,,,,,,,
36,2,eden-rabatsch,9,"Great popcorn film, surprises the series with","Well, Well, Well....I was so ready to tear this down - 19th MCU film, too many stars, bloated CGI, first of a two parter, and so on and so on...Yet, this is so much fun. Pure popcorn...now in the dictionary under popcorn film"" is just the poster for this film. Somehow", the Russo Brothers have juggled all the parts to give everyone some time in the sun. They are helped immensely by two things the premise is so pure Mcguffin that you just watch Thanos look for Infinity Stones which gives a primal momentum and that the films stars/characters are looking to move on - that means, actual stakes for once as people could really die and not just comic book dying either.The DC people must be kicking themselves. The lightness and comedic touches are brilliant. You are laughing out loud, comedy level, but at totally organic character humour. It means you are so entertained throughout its rather long running time.The other big surprise is Thanos himself. Normally," I hate CGI characters but somehow""",,,,,,,,,,,,,,
37,2,True-Friends,10,"Avengers Infinity War, the best movie since L","Im almost wordless, and.....LOTR is my no.1 movie of all-time, and Avengers Infinity War is another LOTR to me, still I love LOTR better, but its just because LOTR filled with great motivational messages, this is the only difference, put aside this IW = LOTR, or maybe even better than LOTR. Hat off... Marvels Avengers Infinity War",,,,,,,,,,,,,,,,,,,
38,2,upashnafuentes,9,I need a Therapist,"This movie has made me feel things that I havent about a movie in a very long time. If you are anything like me you will definitely feel a sense of everything is gonna be alright"" because of the generous sprinkling of light humour that makes the situation feel less serious than it actually is. The emotional roller coaster that begins right at the beginning of the movie to the very end has you feeling more and more frustrated and on edge as it goes on. Dont get me wrong this movie is absolutely stunning and amazing and a cliffhanger at the end has you wanting more and more. Im definitely very excited to see how this storyline will carry out in the next Avengers movie.""",,,,,,,,,,,,,,,,,,,
39,2,pjgs200,7,An objective review of Avengers Infinity War,"I dont mean to be negative here, but Avengers Infinity Wars 8.9 on IMDb is entirely undeserved. Marvel superfan or not, this movie has nothing on films like The Dark Night, La La Land, Pulp Fiction, or Inception, all films which it either outranks based on its 8.9 rating or comes close to. I get that there was an insane amount of hype around this film, and its awesome to see our favorite Marvel characters come together The Guardians of the Galaxy, Thor, Spiderman, Captain America, Black Panther, etc., but we shouldnt let our excitement over all of our favorite characters coming together cloud the fact that Avengers Infinity War"" is an overly long movie that relies on cheap", unbelievable deaths to generate excitement and that isnt particularly well written or edited. I commend the directors and writers on being able to successfully interweave so many stories, but the movie just felt too long. Its fight scene after fight scene," and while the performances are good and the script is prett""",,,,,,,,,,,,,,,,
40,2,milleniumlogan,7,Overrated and bloated,"This movie was an underwhelming, chaotic blend of several different movies. Im going to break down several of the different elements of the movie and why they either worked or really did not work. Ill start with the villainThanos, as a whole, is a pretty good villain. He is intimidating and the movie gave him a good script. The problem is that his powers are so freakin inconsistent. Guardians of the Galaxy already established just how powerful infinity stones are, but Infinity War seems to forget that. In the battle on Titan, Iron Man and about five others are able to hold Thanos down and nearly get his gauntlet off. At this point, Thanos has four infinity stones. Sorry, but there is no way they could restrain him at that point.  Infinity War also includes four other villains which the directors apparently felt had no need for an introduction. Collectively, they are called the Black Order or dark order and their names are never said so, Ill give them nicknames. There is Noseless the Te",,,,,,,,,,,,,,,,,,,
41,2,pranayjalvi,9,Infinity War deserved to be the best and gran,"The most anticipated movie of 2018 has now been released and my word, I have to say that Infinity War was brilliant on each scale, whether be its story, Visual Effects and the ensemble cast consisting all the Marvel characters. Every Marvel Fan needs to watch the movie as words cannot describe the magnificience of the movie.",,,,,,,,,,,,,,,,,,,
42,2,kuaci89,10,ABOVE MY EXPECTATION.,"Just WOW , The Russo nailed it, hand down from me they did it again. Part by part is interesting to watch , some of scene make me shock some scene make me wanna punch people so bad. Thanos is the best villain Ive ever seen. He not just normal villain to kill bunch of people because he love but his motivation so clear why he wanna do that and most people know he is collecting all the infinity stones. One of the best part of it the team up Guardian & Avengers just amazing, full of humor cannot stop laughing watching their scene together. For 1st time my brain cannot process what going to happen in Avengers 4 really hype about it.Really worth watching it , if u non Marvel fans or superheroes fan this movie is worth to watch , really enjoy it . Of course every good movie always have some issue with it but just MINOR issue can close eye and let it go. Going to watch it again soon . Love from Malaysia.",,,,,,,,,,,,,,,,,,,
43,2,ryanmeldrum11,10,Dont Listen To These liars! This is movie of ,DO NOT LISTEN TO THESE PEOPLE! This is an amazing movie! One of the best openings in the MCU! People keep saying there is no story to this movie in which case they are incredibly stupid as this movie follows the story of the infinity gauntlet comics from the 1990s where Thanos takes all the infinity stones from the Avengers heroes and eliminates half of all life in the universe which is exactly happens in this movie as it is a part 1 of 2 story! This is the defeat and part 2 is the victory thats how this is set up so dont go into this movie expecting anything like character development or a more fleshed out world just expect WAR! A massive fight across worlds where our heroes try to stop Thanos and fail. In my own personal opinion this is a masterpiece for 3 reasons 1. all these characters combining into 1 big massive team is done incredibly well 2. we have seen easily the greatest marvel movie villain ever for the first time in action and finally 3. this is easily the most fun and emo,,,,,,,,,,,,,,,,,,,
44,2,MrDHWong,9,A celebration of ten wonderful years of enter,"Avengers Infinity War is the seventh film in Phase Three of the Marvel Cinematic Universe and the nineteenth film overall. Directed by The Russo Brothers Captain America The Winter Soldier and Captain America Civil War, it is truly a terrific film of its kind and a near-perfect culmination of everything the cinematic universe has been building up to for ten years.Two years after the events of Captain America Civil War, the Avengers team remain a fractured group of heroes, with some completely dropping off the radar altogether. However, one day, the powerful intergalactic tyrant Thanos Josh Brolin arrives on Earth to complete his collection of Infinity Stones, which upon acquiring all six, will allow him to control half of the known universe. With time quickly running out, The Avengers must reunite and team up with the Guardians of the Galaxy to put an end to Thanos unquenchable thirst for power.Avengers Infinity War is more than a typical MCU superhero film. It is a celebration of ten ",,,,,,,,,,,,,,,,,,,
45,2,Crazy_Cracker17,10,GOOD ONE BUT WITH MANY DISAPPOINTMENTS,"All over movie is good. better than AOU. but the problem remains same. they keep cracking jokes which makes . I liked only one character doctor strange. he was only serious about everything. banner trying to make hulk out and hulk dont wanted to, that part in starting and in end were so stupid. no good music, no avengers theme, no any sequence there is no any fight I see from captaion and black panther, just a few punches.even end was not that good. I thought this movie will be better than first one but now I know first one will always stay best from all.Tony didnt stay in earth and I didnt like it.action scene were good but not compared to what we saw in civil war.This is very big movie, there must be some scenes and actions which supposed to be unforgattable. You will also feel at least one time that this isnt movie about avengers or saving earth/universe. its about thanos and gamora story. good time wasted there. No complicated plots. plot holes. no combination of music/sound. no in",,,,,,,,,,,,,,,,,,,
